,company,industry,symbol,category,market_cap,book_value,ROE,ROCE,net_profit_margin_inc,current_ratio,price_to_book,debt_to_equity,EPS,revenue_inc,cash_flow_inc,promoter_holding_change,inst_holding_change,div_yield,price_to_earning,return,sign
274,Bombay Dyeing & Manufacturing Co. Ltd.,TEXTILES,BOMDYEING,Nifty Smallcap 250,2494,,,,,,,,,,,,,,,,0
275,Brigade Enterprises Ltd.,CONSTRUCTION,BRIGADE,Nifty Smallcap 250,2400,,,,,,,,,,,,,,,,0
276,CARE Ratings Ltd.,FINANCIAL SERVICES,CARERATING,Nifty Smallcap 250,3158,,,,,,,,,,,,,,,,0
277,CCL Products (I) Ltd.,CONSUMER GOODS,CCL,Nifty Smallcap 250,3567,,,,,,,,,,,,,,,,0
278,CG Power and Industrial Solutions Ltd.,INDUSTRIAL MANUFACTURING,CGPOWER,Nifty Smallcap 250,2344,,,,,,,,,,,,,,,,0
279,Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME,Nifty Smallcap 250,3657,,,,,,,,,,,,,,,,0
280,Capital First Ltd.,FINANCIAL SERVICES,CAPF,Nifty Smallcap 250,4733,,,,,,,,,,,,,,,,0
281,Caplin Point Laboratories Ltd.,PHARMA,CAPLIPOINT,Nifty Smallcap 250,3284,,,,,,,,,,,,,,,,0
282,Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,CARBORUNIV,Nifty Smallcap 250,6848,,,,,,,,,,,,,,,,0
283,Ceat Ltd.,AUTOMOBILE,CEATLTD,Nifty Smallcap 250,4791,,,,,,,,,,,,,,,,0
284,Central Depository Services (India) Ltd.,FINANCIAL SERVICES,CDSL,Nifty Smallcap 250,2557,,,,,,,,,,,,,,,,0
285,Century Plyboards (India) Ltd.,CONSUMER GOODS,CENTURYPLY,Nifty Smallcap 250,3982,,,,,,,,,,,,,,,,0
286,Cera Sanitaryware Ltd,CONSTRUCTION,CERA,Nifty Smallcap 250,3185,,,,,,,,,,,,,,,,0
287,Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT,Nifty Smallcap 250,6037,,,,,,,,,,,,,,,,0
288,Chennai Petroleum Corporation Ltd.,ENERGY,CHENNPETRO,Nifty Smallcap 250,4080,,,,,,,,,,,,,,,,0
289,Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,COCHINSHIP,Nifty Smallcap 250,5292,,,,,,,,,,,,,,,,0
290,Coffee Day Enterprises Ltd.,CONSUMER GOODS,COFFEEDAY,Nifty Smallcap 250,5716,,,,,,,,,,,,,,,,0
291,Cyient Ltd.,IT,CYIENT,Nifty Smallcap 250,6999,,,,,,,,,,,,,,,,0
292,D.B.Corp Ltd.,MEDIA & ENTERTAINMENT,DBCORP,Nifty Smallcap 250,2882,,,,,,,,,,,,,,,,0
293,DCB Bank Ltd.,FINANCIAL SERVICES,DCBBANK,Nifty Smallcap 250,4925,,,,,,,,,,,,,,,,0
294,DCM Shriram Ltd.,CONSUMER GOODS,DCMSHRIRAM,Nifty Smallcap 250,6396,,,,,,,,,,,,,,,,0
295,Deepak Fertilisers & Petrochemicals Corp. Ltd.,CHEMICALS,DEEPAKFERT,Nifty Smallcap 250,1841,,,,,,,,,,,,,,,,0
296,Delta Corp Ltd.,SERVICES,DELTACORP,Nifty Smallcap 250,6740,,,,,,,,,,,,,,,,0
297,Den Networks Ltd.,MEDIA & ENTERTAINMENT,DEN,Nifty Smallcap 250,1336,,,,,,,,,,,,,,,,0
298,Dena Bank,FINANCIAL SERVICES,DENABANK,Nifty Smallcap 250,3581,,,,,,,,,,,,,,,,0
299,Dishman Carbogen Amcis Ltd.,PHARMA,DCAL,Nifty Smallcap 250,3692,,,,,,,,,,,,,,,,0
300,Dixon Technologies (India) Ltd.,CONSUMER GOODS,DIXON,Nifty Smallcap 250,2424,,,,,,,,,,,,,,,,0
301,Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,LALPATHLAB,Nifty Smallcap 250,7396,,,,,,,,,,,,,,,,0
302,Dredging Corporation of India Ltd.,SERVICES,DREDGECORP,Nifty Smallcap 250,911.4,,,,,,,,,,,,,,,,0
303,E.I.D. Parry (India) Ltd.,FERTILISERS & PESTICIDES,EIDPARRY,Nifty Smallcap 250,3945,,,,,,,,,,,,,,,,0
304,Elgi Equipments Ltd.,INDUSTRIAL MANUFACTURING,ELGIEQUIP,Nifty Smallcap 250,4193,,,,,,,,,,,,,,,,0
305,Equitas Holdings Ltd.,FINANCIAL SERVICES,EQUITAS,Nifty Smallcap 250,3811,,,,,,,,,,,,,,,,0
306,Eris Lifesciences Ltd.,PHARMA,ERIS,Nifty Smallcap 250,9300,,,,,,,,,,,,,,,,0
307,Eros Intl Media Ltd.,MEDIA & ENTERTAINMENT,EROSMEDIA,Nifty Smallcap 250,849.82,,,,,,,,,,,,,,,,0
308,Eveready Industries India Ltd.,CONSUMER GOODS,EVEREADY,Nifty Smallcap 250,1382,,,,,,,,,,,,,,,,0
309,Excel Crop Care Ltd.,FERTILISERS & PESTICIDES,EXCELCROP,Nifty Smallcap 250,4305,,,,,,,,,,,,,,,,0
310,FDC Ltd.,PHARMA,FDC,Nifty Smallcap 250,3525,,,,,,,,,,,,,,,,0
311,Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING,FINPIPE,Nifty Smallcap 250,6706,,,,,,,,,,,,,,,,0
312,Firstsource Solutions Ltd.,IT,FSL,Nifty Smallcap 250,4092,,,,,,,,,,,,,,,,0
313,Future Lifestyle Fashions Ltd.,CONSUMER GOODS,FLFL,Nifty Smallcap 250,7286,,,,,,,,,,,,,,,,0
314,GE Power India Ltd.,INDUSTRIAL MANUFACTURING,GEPIL,Nifty Smallcap 250,5553,,,,,,,,,,,,,,,,0
315,GHCL Ltd.,CHEMICALS,GHCL,Nifty Smallcap 250,2116,,,,,,,,,,,,,,,,0
316,GVK Power & Infrastructures Ltd.,CONSTRUCTION,GVKPIL,Nifty Smallcap 250,1271,,,,,,,,,,,,,,,,0
317,Galaxy Surfactants Ltd.,CHEMICALS,GALAXYSURF,Nifty Smallcap 250,4230,,,,,,,,,,,,,,,,0
318,Gateway Distriparks Ltd.,SERVICES,GDL,Nifty Smallcap 250,1447,,,,,,,,,,,,,,,,0
319,Gayatri Projects Ltd.,CONSTRUCTION,GAYAPROJ,Nifty Smallcap 250,3447,,,,,,,,,,,,,,,,0
320,Godfrey Phillips India Ltd.,CONSUMER GOODS,GODFRYPHLP,Nifty Smallcap 250,4117,,,,,,,,,,,,,,,,0
321,Granules India Ltd.,PHARMA,GRANULES,Nifty Smallcap 250,2571,,,,,,,,,,,,,,,,0
322,Great Eastern Shipping Co. Ltd.,SERVICES,GESHIP,Nifty Smallcap 250,4686,,,,,,,,,,,,,,,,0
323,Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING,GREAVESCOT,Nifty Smallcap 250,2906,,,,,,,,,,,,,,,,0
324,Greenply Industries Ltd.,CONSUMER GOODS,GREENPLY,Nifty Smallcap 250,1681,,,,,,,,,,,,,,,,0
325,Grindwell Norton Ltd.,INDUSTRIAL MANUFACTURING,GRINDWELL,Nifty Smallcap 250,5486,,,,,,,,,,,,,,,,0
326,Gujarat Alkalies & Chemicals Ltd.,CHEMICALS,GUJALKALI,Nifty Smallcap 250,4344,,,,,,,,,,,,,,,,0
327,Gujarat Fluorochemicals Ltd.,INDUSTRIAL MANUFACTURING,GUJFLUORO,Nifty Smallcap 250,9732,,,,,,,,,,,,,,,,0
328,Gujarat Mineral Development Corporation Ltd.,METALS,GMDCLTD,Nifty Smallcap 250,2762,,,,,,,,,,,,,,,,0
329,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,GNFC,Nifty Smallcap 250,5918,,,,,,,,,,,,,,,,0
330,Gujarat Pipavav Port Ltd.,SERVICES,GPPL,Nifty Smallcap 250,4755,,,,,,,,,,,,,,,,0
331,Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,GSFC,Nifty Smallcap 250,4626,,,,,,,,,,,,,,,,0
332,Gulf Oil Lubricants India Ltd.,ENERGY,GULFOILLUB,Nifty Smallcap 250,3612,,,,,,,,,,,,,,,,0
333,HCL Infosystems Ltd.,IT,HCL-INSYS,Nifty Smallcap 250,882.28,,,,,,,,,,,,,,,,0
334,HSIL Ltd.,CONSUMER GOODS,HSIL,Nifty Smallcap 250,1857,,,,,,,,,,,,,,,,0
335,Hathway Cable & Datacom Ltd.,MEDIA & ENTERTAINMENT,HATHWAY,Nifty Smallcap 250,2584,,,,,,,,,,,,,,,,0
336,HeidelbergCement India Ltd.,CEMENT & CEMENT PRODUCTS,HEIDELBERG,Nifty Smallcap 250,3389,,,,,,,,,,,,,,,,0
337,Heritage Foods Ltd.,CONSUMER GOODS,HERITGFOOD,Nifty Smallcap 250,2367,,,,,,,,,,,,,,,,0
338,Himachal Fut Com Ltd.,TELECOM,HFCL,Nifty Smallcap 250,2553,,,,,,,,,,,,,,,,0
339,Himadri Speciality Chemical Ltd.,CHEMICALS,HSCL,Nifty Smallcap 250,5462,,,,,,,,,,,,,,,,0
340,Himatsingka Seide Ltd.,TEXTILES,HIMATSEIDE,Nifty Smallcap 250,2310,,,,,,,,,,,,,,,,0
341,Hindustan Construction Co. Ltd.,CONSTRUCTION,HCC,Nifty Smallcap 250,1401,,,,,,,,,,,,,,,,0
342,Hindustan Copper Ltd.,METALS,HINDCOPPER,Nifty Smallcap 250,4746,,,,,,,,,,,,,,,,0
343,IDFC Ltd.,FINANCIAL SERVICES,IDFC,Nifty Smallcap 250,6066,,,,,,,,,,,,,,,,0
344,IFB Industries Ltd.,CONSUMER GOODS,IFBIND,Nifty Smallcap 250,3625,,,,,,,,,,,,,,,,0
345,IFCI Ltd.,FINANCIAL SERVICES,IFCI,Nifty Smallcap 250,2425,,,,,,,,,,,,,,,,0
346,IL&FS Transportation Networks Ltd.,CONSTRUCTION,IL&FSTRANS,Nifty Smallcap 250,644.76,,,,,,,,,,,,,,,,0
347,IRB Infrastructure Developers Ltd.,CONSTRUCTION,IRB,Nifty Smallcap 250,5110,,,,,,,,,,,,,,,,0
348,ITD Cementation India Ltd.,CONSTRUCTION,ITDCEM,Nifty Smallcap 250,1960,,,,,,,,,,,,,,,,0
349,ITI Ltd.,TELECOM,ITI,Nifty Smallcap 250,7248,,,,,,,,,,,,,,,,0
350,India Cements Ltd.,CEMENT & CEMENT PRODUCTS,INDIACEM,Nifty Smallcap 250,2939,,,,,,,,,,,,,,,,0
351,India Tourism Development Corporation Ltd.,SERVICES,ITDC,Nifty Smallcap 250,2583,,,,,,,,,,,,,,,,0
352,Indiabulls Real Estate Ltd.,CONSTRUCTION,IBREALEST,Nifty Smallcap 250,3720,,,,,,,,,,,,,,,,0
353,Indian Energy Exchange Ltd.,FINANCIAL SERVICES,IEX,Nifty Smallcap 250,4751,,,,,,,,,,,,,,,,0
354,Indian Overseas Bank ,FINANCIAL SERVICES,IOB,Nifty Smallcap 250,7141,,,,,,,,,,,,,,,,0
355,Indo Count Industries Ltd.,TEXTILES,ICIL,Nifty Smallcap 250,1323,,,,,,,,,,,,,,,,0
356,Indoco Remedies Ltd.,PHARMA,INDOCO,Nifty Smallcap 250,1749,,,,,,,,,,,,,,,,0
357,Infibeam Avenues Ltd.,IT,INFIBEAM,Nifty Smallcap 250,2504,,,,,,,,,,,,,,,,0
358,Inox Leisure Ltd.,MEDIA & ENTERTAINMENT,INOXLEISUR,Nifty Smallcap 250,2197,,,,,,,,,,,,,,,,0
359,Inox Wind Ltd.,INDUSTRIAL MANUFACTURING,INOXWIND,Nifty Smallcap 250,1944,,,,,,,,,,,,,,,,0
360,Intellect Design Arena Ltd.,IT,INTELLECT,Nifty Smallcap 250,3273,,,,,,,,,,,,,,,,0
361,Ipca Laboratories Ltd.,PHARMA,IPCALAB,Nifty Smallcap 250,8903,,,,,,,,,,,,,,,,0
362,J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,JBCHEPHARM,Nifty Smallcap 250,2587,,,,,,,,,,,,,,,,0
363,J.K. Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKCEMENT,Nifty Smallcap 250,4895,,,,,,,,,,,,,,,,0
364,J.Kumar Infraprojects Ltd.,CONSTRUCTION,JKIL,Nifty Smallcap 250,1027,,,,,,,,,,,,,,,,0
365,JK Lakshmi Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKLAKSHMI,Nifty Smallcap 250,3162,,,,,,,,,,,,,,,,0
366,JK Tyre & Industries Ltd.,AUTOMOBILE,JKTYRE,Nifty Smallcap 250,2478,,,,,,,,,,,,,,,,0
367,Jagran Prakashan Ltd.,MEDIA & ENTERTAINMENT,JAGRAN,Nifty Smallcap 250,3176,,,,,,,,,,,,,,,,0
368,Jai Corp Ltd.,INDUSTRIAL MANUFACTURING,JAICORPLTD,Nifty Smallcap 250,1938,,,,,,,,,,,,,,,,0
369,Jain Irrigation Systems Ltd.,INDUSTRIAL MANUFACTURING,JISLJALEQS,Nifty Smallcap 250,3809,,,,,,,,,,,,,,,,0
370,Jaiprakash Associates Ltd.,CEMENT & CEMENT PRODUCTS,JPASSOCIAT,Nifty Smallcap 250,1642,,,,,,,,,,,,,,,,0
371,Jaiprakash Power Ventures Ltd.,ENERGY,JPPOWER,Nifty Smallcap 250,1199,,,,,,,,,,,,,,,,0
372,Jammu & Kashmir Bank Ltd.,FINANCIAL SERVICES,J&KBANK,Nifty Smallcap 250,2317,,,,,,,,,,,,,,,,0
373,Jet Airways (India) Ltd.,SERVICES,JETAIRWAYS,Nifty Smallcap 250,2603,,,,,,,,,,,,,,,,0
374,Jindal Saw Ltd.,METALS,JINDALSAW,Nifty Smallcap 250,2812,,,,,,,,,,,,,,,,0
375,Jindal Stainless (Hisar) Ltd.,METALS,JSLHISAR,Nifty Smallcap 250,2441,,,,,,,,,,,,,,,,0
376,Jindal Stainless Ltd.,METALS,JSL,Nifty Smallcap 250,2530,,,,,,,,,,,,,,,,0
377,Johnson Controls - Hitachi Air Conditioning India Ltd.,CONSUMER GOODS,JCHAC,Nifty Smallcap 250,4838,,,,,,,,,,,,,,,,0
378,Justdial Ltd.,IT,JUSTDIAL,Nifty Smallcap 250,3308,,,,,,,,,,,,,,,,0
379,Jyothy Laboratories Ltd.,CONSUMER GOODS,JYOTHYLAB,Nifty Smallcap 250,6955,,,,,,,,,,,,,,,,0
380,K.P.R. Mill Ltd.,TEXTILES,KPRMILL,Nifty Smallcap 250,4351,,,,,,,,,,,,,,,,0
381,KNR Constructions Ltd.,CONSTRUCTION,KNRCON,Nifty Smallcap 250,2701,,,,,,,,,,,,,,,,0
382,Kajaria Ceramics Ltd.,CONSTRUCTION,KAJARIACER,Nifty Smallcap 250,6496,,,,,,,,,,,,,,,,0
383,Kalpataru Power Transmission Ltd.,ENERGY,KALPATPOWR,Nifty Smallcap 250,5650,,,,,,,,,,,,,,,,0
384,Karnataka Bank Ltd.,FINANCIAL SERVICES,KTKBANK,Nifty Smallcap 250,2945,,,,,,,,,,,,,,,,0
385,Karur Vysya Bank Ltd.,FINANCIAL SERVICES,KARURVYSYA,Nifty Smallcap 250,6287,,,,,,,,,,,,,,,,0
386,Kaveri Seed Company Ltd.,CONSUMER GOODS,KSCL,Nifty Smallcap 250,3172,,,,,,,,,,,,,,,,0
387,Kec International Ltd.,CONSTRUCTION,KEC,Nifty Smallcap 250,7826,,,,,,,,,,,,,,,,0
388,Kolte-Patil Developers Ltd.,CONSTRUCTION,KOLTEPATIL,Nifty Smallcap 250,1840,,,,,,,,,,,,,,,,0
389,Lakshmi Machine Works Ltd.,INDUSTRIAL MANUFACTURING,LAXMIMACH,Nifty Smallcap 250,6515,,,,,,,,,,,,,,,,0
390,Lakshmi Vilas Bank Ltd.,FINANCIAL SERVICES,LAKSHVILAS,Nifty Smallcap 250,2311,,,,,,,,,,,,,,,,0
391,Laurus Labs Ltd.,PHARMA,LAURUSLABS,Nifty Smallcap 250,3906,,,,,,,,,,,,,,,,0
392,Lemon Tree Hotels Ltd.,SERVICES,LEMONTREE,Nifty Smallcap 250,5463,,,,,,,,,,,,,,,,0
393,Linde India Ltd.,CHEMICALS,LINDEINDIA,Nifty Smallcap 250,4003,,,,,,,,,,,,,,,,0
394,Lux Industries Ltd.,TEXTILES,LUXIND,Nifty Smallcap 250,3999,,,,,,,,,,,,,,,,0
395,MAS Financial Services Ltd.,FINANCIAL SERVICES,MASFIN,Nifty Smallcap 250,2738,,,,,,,,,,,,,,,,0
396,MMTC Ltd.,SERVICES,MMTC,Nifty Smallcap 250,4440,,,,,,,,,,,,,,,,0
397,MOIL Ltd.,METALS,MOIL,Nifty Smallcap 250,4512,,,,,,,,,,,,,,,,0
398,Magma Fincorp Ltd.,FINANCIAL SERVICES,MAGMA,Nifty Smallcap 250,2910,,,,,,,,,,,,,,,,0
399,Mahindra Holidays & Resorts India Ltd.,SERVICES,MHRIL,Nifty Smallcap 250,2959,,,,,,,,,,,,,,,,0
400,Mahindra Logistics Ltd.,SERVICES,MAHLOG,Nifty Smallcap 250,3824,,,,,,,,,,,,,,,,0
401,Manpasand Beverages Ltd.,CONSUMER GOODS,MANPASAND,Nifty Smallcap 250,1081,,,,,,,,,,,,,,,,0
402,Max India Ltd.,HEALTHCARE SERVICES,MAXINDIA,Nifty Smallcap 250,1864,,,,,,,,,,,,,,,,0
403,McLeod Russel India Ltd.,CONSUMER GOODS,MCLEODRUSS,Nifty Smallcap 250,1455,,,,,,,,,,,,,,,,0
404,Merck Ltd.,PHARMA,MERCK,Nifty Smallcap 250,5147,,,,,,,,,,,,,,,,0
405,Minda Corporation Ltd.,AUTOMOBILE,MINDACORP,Nifty Smallcap 250,3054,,,,,,,,,,,,,,,,0
406,Minda Industries Ltd.,AUTOMOBILE,MINDAIND,Nifty Smallcap 250,8884,,,,,,,,,,,,,,,,0
407,Monsanto India Ltd.,FERTILISERS & PESTICIDES,MONSANTO,Nifty Smallcap 250,4405,,,,,,,,,,,,,,,,0
408,NCC Ltd.,CONSTRUCTION,NCC,Nifty Smallcap 250,4787,,,,,,,,,,,,,,,,0
409,NESCO Ltd.,SERVICES,NESCO,Nifty Smallcap 250,3082,,,,,,,,,,,,,,,,0
410,NIIT Technologies Ltd.,IT,NIITTECH,Nifty Smallcap 250,7317,,,,,,,,,,,,,,,,0
411,Narayana Hrudayalaya Ltd.,HEALTHCARE SERVICES,NH,Nifty Smallcap 250,4989,,,,,,,,,,,,,,,,0
412,National Fertilizers Ltd.,FERTILISERS & PESTICIDES,NFL,Nifty Smallcap 250,1761,,,,,,,,,,,,,,,,0
413,Nava Bharat Ventures Ltd.,ENERGY,NBVENTURES,Nifty Smallcap 250,2219,,,,,,,,,,,,,,,,0
414,Navin Fluorine International Ltd.,CHEMICALS,NAVINFLUOR,Nifty Smallcap 250,3202,,,,,,,,,,,,,,,,0
415,Navkar Corporation Ltd.,SERVICES,NAVKARCORP,Nifty Smallcap 250,1002,,,,,,,,,,,,,,,,0
416,Network18 Media & Investments Ltd.,MEDIA & ENTERTAINMENT,NETWORK18,Nifty Smallcap 250,4381,,,,,,,,,,,,,,,,0
417,Nilkamal Ltd.,INDUSTRIAL MANUFACTURING,NILKAMAL,Nifty Smallcap 250,2359,,,,,,,,,,,,,,,,0
418,Omaxe Ltd.,CONSTRUCTION,OMAXE,Nifty Smallcap 250,3902,,,,,,,,,,,,,,,,0
419,Orient Cement Ltd.,CEMENT & CEMENT PRODUCTS,ORIENTCEM,Nifty Smallcap 250,1838,,,,,,,,,,,,,,,,0
420,Oriental Bank of Commerce,FINANCIAL SERVICES,ORIENTBANK,Nifty Smallcap 250,4993,,,,,,,,,,,,,,,,0
421,PNC Infratech Ltd.,CONSTRUCTION,PNCINFRA,Nifty Smallcap 250,3579,,,,,,,,,,,,,,,,0
422,PTC India Fin Serv Ltd.,FINANCIAL SERVICES,PFS,Nifty Smallcap 250,995.54,,,,,,,,,,,,,,,,0
423,PTC India Ltd.,ENERGY,PTC,Nifty Smallcap 250,2341,,,,,,,,,,,,,,,,0
424,PVR Ltd.,MEDIA & ENTERTAINMENT,PVR,Nifty Smallcap 250,6517,,,,,,,,,,,,,,,,0
425,Parag Milk Foods Ltd.,CONSUMER GOODS,PARAGMILK,Nifty Smallcap 250,2171,,,,,,,,,,,,,,,,0
426,Persistent Systems Ltd.,IT,PERSISTENT,Nifty Smallcap 250,4482,,,,,,,,,,,,,,,,0
427,Phillips Carbon Black Ltd.,CHEMICALS,PHILIPCARB,Nifty Smallcap 250,3982,,,,,,,,,,,,,,,,0
428,Praj Industries Ltd.,INDUSTRIAL MANUFACTURING,PRAJIND,Nifty Smallcap 250,1972,,,,,,,,,,,,,,,,0
429,Prism Johnson Ltd.,CEMENT & CEMENT PRODUCTS,PRSMJOHNSN,Nifty Smallcap 250,4452,,,,,,,,,,,,,,,,0
430,Radico Khaitan Ltd,CONSUMER GOODS,RADICO,Nifty Smallcap 250,5298,,,,,,,,,,,,,,,,0
431,Rain Industries Ltd,CHEMICALS,RAIN,Nifty Smallcap 250,6280,,,,,,,,,,,,,,,,0
432,Rallis India Ltd.,FERTILISERS & PESTICIDES,RALLIS,Nifty Smallcap 250,3277,,,,,,,,,,,,,,,,0
433,Ramkrishna Forgings Ltd.,INDUSTRIAL MANUFACTURING,RKFORGE,Nifty Smallcap 250,1907,,,,,,,,,,,,,,,,0
434,Rashtriya Chemicals & Fertilizers Ltd.,FERTILISERS & PESTICIDES,RCF,Nifty Smallcap 250,3415,,,,,,,,,,,,,,,,0
435,Raymond Ltd.,TEXTILES,RAYMOND,Nifty Smallcap 250,4657,,,,,,,,,,,,,,,,0
436,Redington (India) Ltd.,SERVICES,REDINGTON,Nifty Smallcap 250,3445,,,,,,,,,,,,,,,,0
437,Relaxo Footwears Ltd.,CONSUMER GOODS,RELAXO,Nifty Smallcap 250,9533,,,,,,,,,,,,,,,,0
438,Reliance Communications Ltd.,TELECOM,RCOM,Nifty Smallcap 250,3899,,,,,,,,,,,,,,,,0
439,Reliance Home Finance Ltd.,FINANCIAL SERVICES,RHFL,Nifty Smallcap 250,2166,,,,,,,,,,,,,,,,0
440,Reliance Naval and Engineering Ltd.,INDUSTRIAL MANUFACTURING,RNAVAL,Nifty Smallcap 250,1044,,,,,,,,,,,,,,,,0
441,Repco Home Finance Ltd.,FINANCIAL SERVICES,REPCOHOME,Nifty Smallcap 250,2533,,,,,,,,,,,,,,,,0
442,Rupa & Company Ltd.,TEXTILES,RUPA,Nifty Smallcap 250,2379,,,,,,,,,,,,,,,,0
443,S H Kelkar and Company Ltd.,CONSUMER GOODS,SHK,Nifty Smallcap 250,2665,,,,,,,,,,,,,,,,0
444,SREI Infrastructure Finance Ltd.,FINANCIAL SERVICES,SREINFRA,Nifty Smallcap 250,1778,,,,,,,,,,,,,,,,0
445,Sadbhav Engineering Ltd.,CONSTRUCTION,SADBHAV,Nifty Smallcap 250,3617,,,,,,,,,,,,,,,,0
446,Sadbhav Infrastructure Project Ltd.,CONSTRUCTION,SADBHIN,Nifty Smallcap 250,3728,,,,,,,,,,,,,,,,0
447,Schaeffler India Ltd.,INDUSTRIAL MANUFACTURING,SCHAEFFLER,Nifty Smallcap 250,8390,,,,,,,,,,,,,,,,0
448,Security and Intelligence Services (India) Ltd.,SERVICES,SIS,Nifty Smallcap 250,6450,,,,,,,,,,,,,,,,0
449,Shankara Building Products Ltd.,METALS,SHANKARA,Nifty Smallcap 250,2521,,,,,,,,,,,,,,,,0
450,Shilpa Medicare Ltd.,PHARMA,SHILPAMED,Nifty Smallcap 250,3213,,,,,,,,,,,,,,,,0
451,Shipping Corporation of India Ltd.,SERVICES,SCI,Nifty Smallcap 250,2119,,,,,,,,,,,,,,,,0
452,Shoppers Stop Ltd.,CONSUMER GOODS,SHOPERSTOP,Nifty Smallcap 250,4223,,,,,,,,,,,,,,,,0
453,Shree Renuka Sugars Ltd.,CONSUMER GOODS,RENUKA,Nifty Smallcap 250,2540,,,,,,,,,,,,,,,,0
454,Sintex Plastics Technology Ltd.,INDUSTRIAL MANUFACTURING,SPTL,Nifty Smallcap 250,1606,,,,,,,,,,,,,,,,0
455,Sobha Ltd.,CONSTRUCTION,SOBHA,Nifty Smallcap 250,4295,,,,,,,,,,,,,,,,0
456,Sonata Software Ltd.,IT,SONATSOFTW,Nifty Smallcap 250,3246,,,,,,,,,,,,,,,,0
457,South Indian Bank Ltd.,FINANCIAL SERVICES,SOUTHBANK,Nifty Smallcap 250,2660,,,,,,,,,,,,,,,,0
458,Star Cement Ltd.,CEMENT & CEMENT PRODUCTS,STARCEMENT,Nifty Smallcap 250,4402,,,,,,,,,,,,,,,,0
459,Strides Pharma Science Ltd.,PHARMA,STAR,Nifty Smallcap 250,3760,,,,,,,,,,,,,,,,0
460,Sudarshan Chemical Industries Ltd.,CHEMICALS,SUDARSCHEM,Nifty Smallcap 250,2598,,,,,,,,,,,,,,,,0
461,Sunteck Realty Ltd.,CONSTRUCTION,SUNTECK,Nifty Smallcap 250,5092,,,,,,,,,,,,,,,,0
462,Suven Life Sciences Ltd.,PHARMA,SUVEN,Nifty Smallcap 250,3008,,,,,,,,,,,,,,,,0
463,Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING,SUZLON,Nifty Smallcap 250,3351,,,,,,,,,,,,,,,,0
464,Swan Energy Ltd.,TEXTILES,SWANENERGY,Nifty Smallcap 250,2484,,,,,,,,,,,,,,,,0
465,Syndicate Bank,FINANCIAL SERVICES,SYNDIBANK,Nifty Smallcap 250,4868,,,,,,,,,,,,,,,,0
466,TTK Prestige Ltd.,CONSUMER GOODS,TTKPRESTIG,Nifty Smallcap 250,7881,,,,,,,,,,,,,,,,0
467,TV Today Network Ltd.,MEDIA & ENTERTAINMENT,TVTODAY,Nifty Smallcap 250,2368,,,,,,,,,,,,,,,,0
468,TVS Srichakra Ltd.,AUTOMOBILE,TVSSRICHAK,Nifty Smallcap 250,1979,,,,,,,,,,,,,,,,0
469,Take Solutions Ltd.,IT,TAKE,Nifty Smallcap 250,2270,,,,,,,,,,,,,,,,0
470,Tamil Nadu Newsprint & Papers Ltd.,PAPER,TNPL,Nifty Smallcap 250,1884,,,,,,,,,,,,,,,,0
471,Tata Coffee Ltd.,CONSUMER GOODS,TATACOFFEE,Nifty Smallcap 250,1815,,,,,,,,,,,,,,,,0
472,Tata Elxsi Ltd.,IT,TATAELXSI,Nifty Smallcap 250,6522,,,,,,,,,,,,,,,,0
473,Tata Investment Corporation Ltd.,FINANCIAL SERVICES,TATAINVEST,Nifty Smallcap 250,3895,,,,,,,,,,,,,,,,0
474,Tata Sponge Iron Ltd.,METALS,TATASPONGE,Nifty Smallcap 250,1246,,,,,,,,,,,,,,,,0
475,Teamlease Services Ltd.,SERVICES,TEAMLEASE,Nifty Smallcap 250,4535,,,,,,,,,,,,,,,,0
476,Texmaco Rail & Eng. Ltd.,INDUSTRIAL MANUFACTURING,TEXRAIL,Nifty Smallcap 250,1365,,,,,,,,,,,,,,,,0
477,Thyrocare Technologies Ltd.,HEALTHCARE SERVICES,THYROCARE,Nifty Smallcap 250,2946,,,,,,,,,,,,,,,,0
478,Time Technoplast Ltd.,INDUSTRIAL MANUFACTURING,TIMETECHNO,Nifty Smallcap 250,2682,,,,,,,,,,,,,,,,0
479,Timken India Ltd.,INDUSTRIAL MANUFACTURING,TIMKEN,Nifty Smallcap 250,3965,,,,,,,,,,,,,,,,0
480,Trident Ltd.,TEXTILES,TRIDENT,Nifty Smallcap 250,3417,,,,,,,,,,,,,,,,0
481,Tube Investments of India Ltd.,AUTOMOBILE,TIINDIA,Nifty Smallcap 250,5522,,,,,,,,,,,,,,,,0
